"Year","Month","Day","Moon_age","right_ascens_hour","right_ascens_min","right_ascens_sec","deg","declination_min","declination_sec","Rise","Culm","Set","Mag.","Observable","Constellation"
"2020","01","27","03 days","16","57","57","-22","35","50","05:46","09:32","13:18","1.4","Not observable","Ophiuchus"
"2020","01","28","04 days","17","00","53","-22","40","50","05:49","09:34","13:19","1.4","Not observable","Ophiuchus"
"2020","01","29","05 days","17","03","49","-22","45","37","05:47","09:32","13:16","1.4","Not observable","Ophiuchus"
"2020","01","30","06 days","17","06","46","-22","50","14","05:46","09:30","13:13","1.4","Not observable","Ophiuchus"
"2020","01","31","07 days","17","09","42","-22","54","38","05:48","09:31","13:15","1.4","Not observable","Ophiuchus"
"2020","02","01","08 days","17","12","39","-22","58","50","05:46","09:29","13:12","1.4","Not observable","Ophiuchus"
"2020","02","02","09 days","17","15","37","-23","02","51","05:45","09:27","13:10","1.4","Not observable","Ophiuchus"
"2020","02","03","10 days","17","18","34","-23","06","40","05:43","09:25","13:07","1.3","Not observable","Ophiuchus"
"2020","02","04","11 days","17","21","32","-23","10","17","05:46","09:27","13:08","1.3","Not observable","Ophiuchus"
"2020","02","05","12 days","17","24","30","-23","13","42","05:44","09:25","13:06","1.3","Not observable","Ophiuchus"
"2020","02","06","13 days","17","27","28","-23","16","55","05:42","09:23","13:03","1.3","Not observable","Ophiuchus"
"2020","02","07","14 days","17","30","26","-23","19","55","05:41","09:21","13:01","1.3","Not observable","Ophiuchus"
"2020","02","08","15 days","17","33","25","-23","22","44","05:43","09:23","13:03","1.3","Not observable","Ophiuchus"
"2020","02","09","16 days","17","36","24","-23","25","20","05:41","09:21","13:00","1.3","Not observable","Ophiuchus"
"2020","02","10","17 days","17","39","23","-23","27","44","05:40","09:19","12:58","1.3","Not observable","Ophiuchus"
"2020","02","11","18 days","17","42","22","-23","29","56","05:42","09:21","12:59","1.3","Not observable","Ophiuchus"
"2020","02","12","19 days","17","45","21","-23","31","56","05:40","09:19","12:57","1.3","Not observable","Sagittarius"
"2020","02","13","20 days","17","48","21","-23","33","43","05:38","09:17","12:55","1.3","Not observable","Sagittarius"
"2020","02","14","21 days","17","51","20","-23","35","18","05:37","09:15","12:53","1.3","Not observable","Sagittarius"
"2020","02","15","22 days","17","54","20","-23","36","40","05:39","09:17","12:54","1.3","Not observable","Sagittarius"
"2020","02","16","23 days","17","57","20","-23","37","50","05:37","09:15","12:52","1.2","Not observable","Sagittarius"
"2020","02","17","24 days","18","00","20","-23","38","48","05:35","09:13","12:50","1.2","Not observable","Sagittarius"
"2020","02","18","25 days","18","03","21","-23","39","33","05:33","09:11","12:48","1.2","Not observable","Sagittarius"
"2020","02","19","26 days","18","06","21","-23","40","06","05:35","09:13","12:50","1.2","Not observable","Sagittarius"
"2020","02","20","27 days","18","09","21","-23","40","26","05:33","09:11","12:48","1.2","Not observable","Sagittarius"
"2020","02","21","28 days","18","12","22","-23","40","33","05:31","09:09","12:46","1.2","Not observable","Sagittarius"
"2020","02","22","29 days","18","15","22","-23","40","28","05:29","09:07","12:44","1.2","Not observable","Sagittarius"
"2020","02","23","30 days","18","18","23","-23","40","11","05:31","09:09","12:46","1.2","Not observable","Sagittarius"
"2020","02","24","01 days","18","21","24","-23","39","41","05:29","09:07","12:44","1.2","Not observable","Sagittarius"
"2020","02","25","02 days","18","24","24","-23","38","58","05:27","09:05","12:42","1.2","Not observable","Sagittarius"
"2020","02","26","03 days","18","27","25","-23","38","03","05:29","09:07","12:44","1.2","Not observable","Sagittarius"
"2020","02","27","04 days","18","30","26","-23","36","55","05:27","09:05","12:43","1.1","Not observable","Sagittarius"
"2020","02","28","05 days","18","33","27","-23","35","35","05:25","09:03","12:41","1.1","Not observable","Sagittarius"
"2020","02","29","06 days","18","36","27","-23","34","03","05:23","09:01","12:39","1.1","Not observable","Sagittarius"
"2020","03","01","07 days","18","39","28","-23","32","17","05:25","09:03","12:41","1.1","Not observable","Sagittarius"
"2020","03","02","08 days","18","42","29","-23","30","20","05:22","09:01","12:40","1.1","Not observable","Sagittarius"
"2020","03","03","09 days","18","45","29","-23","28","10","05:20","08:59","12:38","1.1","Not observable","Sagittarius"
"2020","03","04","10 days","18","48","30","-23","25","47","05:18","08:57","12:36","1.1","Not observable","Sagittarius"
"2020","03","05","11 days","18","51","30","-23","23","13","05:19","08:59","12:39","1.1","Not observable","Sagittarius"
"2020","03","06","12 days","18","54","31","-23","20","25","05:17","08:57","12:37","1.1","Not observable","Sagittarius"
"2020","03","07","13 days","18","57","31","-23","17","26","05:15","08:55","12:35","1.1","Not observable","Sagittarius"
"2020","03","08","14 days","19","00","31","-23","14","14","05:12","08:53","12:34","1.0","Not observable","Sagittarius"
"2020","03","09","15 days","19","03","32","-23","10","51","05:14","08:55","12:36","1.0","Not observable","Sagittarius"
"2020","03","10","16 days","19","06","32","-23","07","15","05:11","08:53","12:35","1.0","Not observable","Sagittarius"
"2020","03","11","17 days","19","09","32","-23","03","26","05:09","08:51","12:33","1.0","Not observable","Sagittarius"
"2020","03","12","18 days","19","12","32","-22","59","26","05:06","08:49","12:32","1.0","Not observable","Sagittarius"
"2020","03","13","19 days","19","15","31","-22","55","14","05:08","08:51","12:34","1.0","Not observable","Sagittarius"
"2020","03","14","20 days","19","18","31","-22","50","50","05:05","08:49","12:33","1.0","Not observable","Sagittarius"
"2020","03","15","21 days","19","21","31","-22","46","14","05:03","08:47","12:31","1.0","Not observable","Sagittarius"
"2020","03","16","22 days","19","24","30","-22","41","26","05:04","08:49","12:34","1.0","Not observable","Sagittarius"
"2020","03","17","23 days","19","27","29","-22","36","26","05:01","08:47","12:33","1.0","Not observable","Sagittarius"
"2020","03","18","24 days","19","30","28","-22","31","14","04:59","08:45","12:31","0.9","Not observable","Sagittarius"
"2020","03","19","25 days","19","33","27","-22","25","51","04:56","08:43","12:30","0.9","Not observable","Sagittarius"
"2020","03","20","26 days","19","36","26","-22","20","17","04:57","08:45","12:32","0.9","Not observable","Sagittarius"
"2020","03","21","27 days","19","39","24","-22","14","31","04:54","08:43","12:31","0.9","Not observable","Sagittarius"
"2020","03","22","28 days","19","42","23","-22","08","33","04:52","08:41","12:30","0.9","Not observable","Sagittarius"
"2020","03","23","29 days","19","45","21","-22","02","24","04:49","08:39","12:29","0.9","Not observable","Sagittarius"
"2020","03","24","30 days","19","48","19","-21","56","04","04:50","08:41","12:31","0.9","Not observable","Sagittarius"
"2020","03","25","01 days","19","51","16","-21","49","33","04:47","08:39","12:30","0.9","Not observable","Sagittarius"
"2020","03","26","02 days","19","54","13","-21","42","51","04:44","08:36","12:29","0.9","Not observable","Sagittarius"
"2020","03","27","03 days","19","57","10","-21","35","58","04:45","08:38","12:32","0.8","Not observable","Sagittarius"
"2020","03","28","04 days","20","00","07","-21","28","54","04:42","08:36","12:30","0.8","Not observable","Sagittarius"
"2020","03","29","05 days","20","03","04","-21","21","39","04:39","08:34","12:29","0.8","Not observable","Sagittarius"
"2020","03","30","06 days","20","06","00","-21","14","14","04:36","08:32","12:28","0.8","Not observable","Sagittarius"
"2020","03","31","07 days","20","08","56","-21","06","38","04:37","08:34","12:31","0.8","Not observable","Capricornus"
"2020","04","01","08 days","20","11","52","-20","58","52","04:34","08:32","12:29","0.8","Not observable","Capricornus"
"2020","04","02","09 days","20","14","47","-20","50","55","04:31","08:30","12:28","0.8","Not observable","Capricornus"
"2020","04","03","10 days","20","17","42","-20","42","48","04:32","08:31","12:31","0.8","Not observable","Capricornus"
"2020","04","04","11 days","20","20","37","-20","34","32","04:29","08:29","12:30","0.7","Not observable","Capricornus"
"2020","04","05","12 days","20","23","31","-20","26","05","04:25","08:27","12:29","0.7","Not observable","Capricornus"
"2020","04","06","13 days","20","26","25","-20","17","28","04:22","08:25","12:28","0.7","Not observable","Capricornus"
"2020","04","07","14 days","20","29","19","-20","08","42","04:23","08:27","12:30","0.7","Not observable","Capricornus"
"2020","04","08","15 days","20","32","13","-19","59","46","04:20","08:24","12:29","0.7","Not observable","Capricornus"
"2020","04","09","16 days","20","35","06","-19","50","40","04:16","08:22","12:28","0.7","Not observable","Capricornus"
"2020","04","10","17 days","20","37","59","-19","41","25","04:17","08:24","12:31","0.7","Not observable","Capricornus"
"2020","04","11","18 days","20","40","51","-19","32","00","04:14","08:22","12:30","0.7","Not observable","Capricornus"
"2020","04","12","19 days","20","43","44","-19","22","27","04:10","08:19","12:29","0.7","Not observable","Capricornus"
"2020","04","13","20 days","20","46","35","-19","12","44","04:07","08:17","12:27","0.6","Not observable","Capricornus"
"2020","04","14","21 days","20","49","27","-19","02","53","04:08","08:19","12:30","0.6","Not observable","Capricornus"
"2020","04","15","22 days","20","52","18","-18","52","53","04:04","08:17","12:29","0.6","Not observable","Capricornus"
"2020","04","16","23 days","20","55","09","-18","42","44","04:01","08:14","12:28","0.6","Not observable","Capricornus"
"2020","04","17","24 days","20","58","00","-18","32","26","04:01","08:16","12:31","0.6","Not observable","Capricornus"
"2020","04","18","25 days","21","00","50","-18","22","01","03:58","08:14","12:30","0.6","Not observable","Capricornus"
"2020","04","19","26 days","21","03","39","-18","11","27","03:54","08:11","12:29","0.6","Not observable","Capricornus"
"2020","04","20","27 days","21","06","29","-18","00","45","03:55","08:13","12:31","0.6","Not observable","Capricornus"
"2020","04","21","28 days","21","09","18","-17","49","55","03:51","08:11","12:30","0.5","Not observable","Capricornus"
"2020","04","22","29 days","21","12","06","-17","38","58","03:47","08:08","12:29","0.5","Not observable","Capricornus"
"2020","04","23","30 days","21","14","55","-17","27","53","03:44","08:06","12:28","0.5","Not observable","Capricornus"
"2020","04","24","01 days","21","17","42","-17","16","41","03:44","08:07","12:31","0.5","Not observable","Capricornus"
"2020","04","25","02 days","21","20","30","-17","05","21","03:41","08:05","12:29","0.5","Not observable","Capricornus"
"2020","04","26","03 days","21","23","17","-16","53","54","03:37","08:03","12:28","0.5","Not observable","Capricornus"
"2020","04","27","04 days","21","26","03","-16","42","21","03:37","08:04","12:31","0.5","Not observable","Capricornus"
"2020","04","28","05 days","21","28","50","-16","30","41","03:33","08:02","12:30","0.5","Not observable","Capricornus"
"2020","04","29","06 days","21","31","35","-16","18","54","03:30","07:59","12:29","0.4","Not observable","Capricornus"
"2020","04","30","07 days","21","34","21","-16","07","00","03:30","08:01","12:31","0.4","Not observable","Capricornus"
"2020","05","01","08 days","21","37","06","-15","55","00","03:26","07:58","12:30","0.4","Not observable","Capricornus"
"2020","05","02","09 days","21","39","50","-15","42","55","03:22","07:56","12:29","0.4","Not observable","Capricornus"
"2020","05","03","10 days","21","42","34","-15","30","43","03:23","07:57","12:32","0.4","Not observable","Capricornus"
"2020","05","04","11 days","21","45","18","-15","18","25","03:19","07:55","12:31","0.4","Not observable","Capricornus"
"2020","05","05","12 days","21","48","01","-15","06","01","03:15","07:52","12:29","0.4","Not observable","Capricornus"
"2020","05","06","13 days","21","50","44","-14","53","32","03:15","07:54","12:32","0.3","Not observable","Capricornus"
"2020","05","07","14 days","21","53","27","-14","40","58","03:11","07:51","12:31","0.3","Not observable","Capricornus"
"2020","05","08","15 days","21","56","09","-14","28","18","03:07","07:48","12:29","0.3","Not observable","Capricornus"
"2020","05","09","16 days","21","58","51","-14","15","33","03:07","07:50","12:32","0.3","Not observable","Aquarius"
"2020","05","10","17 days","22","01","32","-14","02","43","03:03","07:47","12:31","0.3","Not observable","Aquarius"
"2020","05","11","18 days","22","04","13","-13","49","49","02:59","07:44","12:30","0.3","Not observable","Aquarius"
"2020","05","12","19 days","22","06","53","-13","36","49","02:59","07:46","12:32","0.3","Not observable","Aquarius"
"2020","05","13","20 days","22","09","33","-13","23","46","02:55","07:43","12:31","0.3","Not observable","Aquarius"
"2020","05","14","21 days","22","12","13","-13","10","38","02:51","07:40","12:30","0.2","Not observable","Aquarius"
"2020","05","15","22 days","22","14","52","-12","57","26","02:51","07:42","12:32","0.2","Not observable","Aquarius"
"2020","05","16","23 days","22","17","31","-12","44","10","02:47","07:39","12:31","0.2","Not observable","Aquarius"
"2020","05","17","24 days","22","20","09","-12","30","50","02:47","07:40","12:33","0.2","Not observable","Aquarius"
"2020","05","18","25 days","22","22","47","-12","17","27","02:43","07:38","12:32","0.2","Not observable","Aquarius"
"2020","05","19","26 days","22","25","25","-12","04","01","02:39","07:35","12:31","0.2","Not observable","Aquarius"
"2020","05","20","27 days","22","28","02","-11","50","32","02:39","07:36","12:33","0.2","Not observable","Aquarius"
"2020","05","21","28 days","22","30","38","-11","36","59","02:35","07:33","12:32","0.1","Not observable","Aquarius"
"2020","05","22","29 days","22","33","14","-11","23","24","02:31","07:31","12:30","0.1","Not observable","Aquarius"
"2020","05","23","01 days","22","35","50","-11","09","47","02:31","07:32","12:33","0.1","03:53 until 03:52","Aquarius"
"2020","05","24","02 days","22","38","25","-10","56","07","02:27","07:29","12:31","0.1","03:49 until 03:52","Aquarius"
"2020","05","25","03 days","22","41","00","-10","42","25","02:22","07:26","12:30","0.1","03:44 until 03:48","Aquarius"
"2020","05","26","04 days","22","43","34","-10","28","41","02:22","07:27","12:32","0.1","03:43 until 03:48","Aquarius"
"2020","05","27","05 days","22","46","08","-10","14","55","02:18","07:24","12:31","0.1","03:38 until 03:48","Aquarius"
"2020","05","28","06 days","22","48","41","-10","01","07","02:18","07:25","12:33","0.0","03:38 until 03:44","Aquarius"
"2020","05","29","07 days","22","51","14","-09","47","18","02:13","07:23","12:32","0.0","03:33 until 03:44","Aquarius"
"2020","05","30","08 days","22","53","46","-09","33","28","02:09","07:20","12:30","0.0","03:28 until 03:44","Aquarius"
"2020","05","31","09 days","22","56","18","-09","19","37","02:09","07:21","12:32","-0.0","03:27 until 03:45","Aquarius"
"2020","06","01","10 days","22","58","49","-09","05","44","02:05","07:18","12:31","-0.0","03:23 until 03:41","Aquarius"
"2020","06","02","11 days","23","01","20","-08","51","51","02:00","07:15","12:29","-0.0","03:18 until 03:41","Aquarius"
