sleep_awake,sleep_bedtime_end,sleep_bedtime_start,sleep_breath_average,sleep_deep,sleep_duration,sleep_efficiency,sleep_hr_average,sleep_hr_lowest,sleep_light,sleep_midpoint_time,sleep_onset_latency,sleep_rem,sleep_restless,sleep_rmssd,sleep_score,sleep_score_deep,sleep_score_efficiency,sleep_score_latency,sleep_score_rem,sleep_score_total,summary_date,sleep_temperature_delta,sleep_temperature_deviation,sleep_temperature_trend_deviation,sleep_total,activity_average_met,activity_cal_active,activity_cal_total,activity_high,activity_inactive,activity_low,activity_medium,activity_score,activity_steps,readiness_score,readiness_score_activity_balance
6000,2019-10-08T09:01:01+03:00,2019-10-08T00:22:01+03:00,16.25,6840,31140,81,61.97,56,16650,14340,960,1650,38,72,69,97,74,97,22,71,2019-10-08,-0.02,-0.02,0.17,25140,1.5,572,3228,2,449,445,26,93.0,8741,77,80
6330,2019-10-09T09:18:43+03:00,2019-10-09T00:01:43+03:00,16.75,4440,33420,81,64.03,55,20250,17040,1110,2400,38,65,68,72,74,89,32,79,2019-10-09,0.34,0.34,0.23,27090,1.59375,799,3456,7,380,468,42,94.0,12802,77,81
7590,2019-10-10T08:50:55+03:00,2019-10-10T00:08:55+03:00,16.875,4350,31320,76,68.2,57,17700,17880,1800,1680,42,56,57,71,62,59,22,66,2019-10-10,-0.02,-0.02,0.22,23730,1.4375,453,3092,0,447,434,11,93.0,7533,63,77
5490,2019-10-11T09:16:52+03:00,2019-10-11T01:06:52+03:00,16.625,6420,29400,81,64.62,56,16710,14730,900,780,43,68,63,96,76,99,10,67,2019-10-11,0.26,0.26,0.25,23910,1.46875,523,3159,1,479,404,20,87.0,8605,74,81
4770,2019-10-12T10:03:30+03:00,2019-10-12T02:08:30+03:00,16.625,5040,28500,83,59.67,53,15750,15510,1470,2940,44,76,61,82,79,72,39,66,2019-10-12,-0.34,-0.34,0.06,23730,1.3125,286,2786,0,482,206,12,77.0,4397,74,83
5730,2019-10-13T10:33:32+03:00,2019-10-13T01:09:32+03:00,16.5,7110,33840,83,55.45,50,17460,16590,1050,3540,37,87,72,97,79,91,47,83,2019-10-13,-0.04,-0.04,0.0,28110,1.375,477,2996,1,474,246,37,78.0,8368,82,87
2670,2019-10-14T09:00:34+03:00,2019-10-14T01:45:34+03:00,17.0,6390,26100,90,57.36,52,14700,11730,450,2340,40,72,65,96,95,81,31,65,2019-10-14,0.09,0.09,0.15,23430,1.4375,482,3098,3,590,340,20,76.0,7464,77,91
4950,2019-10-15T08:26:50+03:00,2019-10-15T00:46:50+03:00,17.25,5340,27600,82,56.3,53,15390,13650,930,1920,42,67,63,87,76,97,25,62,2019-10-15,-0.32,-0.32,0.0,22650,1.53125,629,3236,4,546,361,40,86.0,9009,76,92
6300,2019-10-16T09:04:11+03:00,2019-10-16T01:19:11+03:00,17.375,6120,27900,77,58.19,52,13530,13440,510,1950,36,55,57,95,65,83,26,57,2019-10-16,0.0,0.0,-0.03,21600,1.5,557,3188,1,559,363,32,78.0,8765,71,89
5040,2019-10-17T08:54:32+03:00,2019-10-17T00:26:32+03:00,17.25,8070,30480,83,55.09,50,15720,14820,960,1650,37,58,70,99,79,97,22,72,2019-10-17,-0.13,-0.13,-0.02,25440,1.5,585,3223,6,550,333,32,75.0,8617,76,87
6090,2019-10-18T08:53:52+03:00,2019-10-18T00:27:52+03:00,17.625,5580,30360,80,65.05,57,17430,15780,540,1260,40,43,63,91,72,83,16,68,2019-10-18,0.09,0.09,0.09,24270,1.46875,587,3173,1,585,291,50,82.0,8977,63,86
5340,2019-10-19T10:29:05+03:00,2019-10-19T01:12:05+03:00,17.125,7800,33420,84,57.24,52,18780,17700,600,1500,42,64,67,98,81,86,20,83,2019-10-19,-0.23,-0.23,0.03,28080,1.65625,913,3527,1,518,335,87,90.0,16518,79,84
6690,2019-10-20T10:33:12+03:00,2019-10-20T01:31:12+03:00,17.625,3330,32520,79,73.3,52,19110,16950,780,3390,38,50,63,54,72,94,46,74,2019-10-20,0.1,0.1,0.08,25830,1.3125,338,2814,1,451,186,25,87.0,5332,68,75
4710,2019-10-21T09:00:14+03:00,2019-10-21T00:47:14+03:00,16.625,5730,29580,84,51.76,48,17280,14280,510,1860,44,68,66,94,81,83,24,70,2019-10-21,0.1,0.1,0.12,24870,1.65625,604,3243,5,400,425,29,91.0,8932,68,77
4230,2019-10-22T09:03:18+03:00,2019-10-22T00:45:18+03:00,16.5,7710,29880,86,55.55,50,13380,15630,1080,4560,36,60,72,98,86,91,61,73,2019-10-22,-0.22,-0.22,0.04,25650,1.53125,621,3244,1,553,349,38,87.0,9022,75,87
4140,2019-10-23T09:07:47+03:00,2019-10-23T00:36:47+03:00,16.75,7980,30660,86,57.39,53,15420,15060,600,3120,36,66,72,98,86,86,41,77,2019-10-23,-0.01,-0.01,0.01,26520,1.5625,699,3360,5,524,389,47,94.0,9530,73,76
5940,2019-10-24T08:51:31+03:00,2019-10-24T00:51:31+03:00,16.125,8220,28800,79,57.63,52,13530,14100,510,1110,35,74,62,99,69,83,15,62,2019-10-24,0.11,0.11,0.07,22860,1.5,562,3223,2,587,347,36,93.0,8545,73,75
4380,2019-10-25T08:56:13+03:00,2019-10-25T00:48:13+03:00,16.625,6510,29280,85,55.48,49,15720,13560,420,2670,39,77,68,96,83,78,36,70,2019-10-25,0.01,0.01,0.11,24900,1.5625,694,3345,1,550,360,51,94.0,9735,76,77
6360,2019-10-26T08:22:34+03:00,2019-10-26T01:23:34+03:00,17.375,5850,25140,75,61.69,52,12120,14190,510,810,36,61,53,95,60,83,11,46,2019-10-26,-0.31,-0.31,-0.01,18780,1.8125,1120,3833,17,459,498,61,96.0,15910,65,76
2550,2019-10-27T08:19:39+03:00,2019-10-27T02:00:39+03:00,19.625,6360,22740,89,99.65,92,9930,11490,390,3900,29,10,64,96,93,78,52,52,2019-10-27,-0.14,-0.14,-0.08,20190,1.5625,811,3375,1,336,405,48,99.0,14160,40,66
12120,2019-10-28T08:39:12+03:00,2019-10-27T21:24:12+03:00,16.25,5730,40500,70,61.67,50,20400,22770,3480,2250,40,89,64,94,48,12,30,84,2019-10-28,0.4,0.4,0.15,28380,1.53125,602,3267,3,642,392,38,93.0,9035,72,62
4410,2019-10-29T09:03:11+03:00,2019-10-29T02:21:11+03:00,15.625,5820,24120,82,55.62,50,12570,11760,600,1320,36,103,56,95,76,86,17,50,2019-10-29,0.03,0.03,0.25,19710,1.5625,678,3344,1,511,446,40,96.0,10261,71,65
5310,2019-10-30T09:01:02+03:00,2019-10-30T00:52:02+03:00,15.875,8190,29340,82,56.87,52,15210,15030,360,630,39,106,62,99,76,75,9,67,2019-10-30,-0.32,-0.32,0.07,24030,1.5625,706,3337,4,467,397,43,97.0,9979,74,65
3930,2019-10-31T08:47:29+03:00,2019-10-31T00:47:29+03:00,16.875,5160,28800,86,60.32,53,17460,14280,240,2250,39,72,64,84,86,70,30,70,2019-10-31,0.02,0.02,0.0,24870,1.53125,617,3250,2,532,392,40,96.0,8819,68,66
3300,2019-11-01T08:58:05+03:00,2019-11-01T00:51:05+03:00,16.375,7410,29220,89,58.25,49,16440,14730,810,2070,43,94,70,98,93,97,27,74,2019-11-01,0.01,0.01,0.05,25920,1.46875,543,3156,4,567,327,26,93.0,8304,79,69
3120,2019-11-02T10:15:35+03:00,2019-11-02T01:46:35+03:00,17.375,8520,30540,90,63.56,56,16140,14970,240,2760,37,57,69,99,95,70,37,80,2019-11-02,-0.17,-0.17,0.04,27420,1.4375,474,3061,1,554,327,14,90.0,7834,67,72
5730,2019-11-03T09:27:49+03:00,2019-11-03T00:53:49+03:00,17.625,5400,30840,81,67.57,55,17250,16560,450,2460,39,49,64,88,76,81,32,71,2019-11-03,-0.24,-0.24,-0.06,25110,1.4375,521,3065,1,544,232,53,93.0,8803,65,76
3990,2019-11-04T08:53:42+03:00,2019-11-03T23:25:42+03:00,17.75,6030,34080,88,62.57,53,19260,17370,600,4800,40,51,81,95,90,86,65,91,2019-11-04,0.15,0.15,0.02,30090,1.6875,972,3626,12,477,405,71,97.0,14509,84,78
4440,2019-11-05T09:00:11+03:00,2019-11-05T01:06:11+03:00,16.875,6420,28440,84,57.52,53,14790,14310,570,2790,41,68,65,96,83,86,37,67,2019-11-05,0.01,0.01,0.11,24000,1.5,569,3224,4,661,307,36,92.0,8127,79,72
4770,2019-11-06T09:13:01+03:00,2019-11-06T01:25:01+03:00,17.125,7860,28080,83,58.88,53,12750,13890,600,2700,36,61,64,98,79,86,36,64,2019-11-06,-0.11,-0.11,0.08,23310,1.5625,678,3352,5,559,372,49,94.0,9270,78,75
5310,2019-11-07T10:21:30+03:00,2019-11-07T02:23:30+03:00,17.25,5640,28680,81,62.68,54,14520,14400,600,3210,41,59,62,92,76,86,43,64,2019-11-07,0.26,0.26,0.16,23370,1.46875,619,3151,1,521,224,64,95.0,10496,75,75
5130,2019-11-08T10:53:50+03:00,2019-11-08T01:01:50+03:00,17.0,6510,35520,86,58.73,54,20220,14760,660,3660,44,56,76,96,86,89,49,92,2019-11-08,-0.12,-0.12,0.13,30390,1.5,698,3241,5,414,330,45,97.0,12327,84,77
5760,2019-11-09T09:53:06+03:00,2019-11-09T02:03:06+03:00,16.25,5940,28200,80,57.16,53,13500,13800,480,3000,38,56,60,95,72,81,40,61,2019-11-09,-0.11,-0.11,0.05,22440,1.46875,520,3159,1,572,384,10,93.0,8533,79,75
7410,2019-11-10T10:50:33+03:00,2019-11-10T01:53:33+03:00,17.125,4980,32220,77,66.2,56,17190,13830,480,2640,45,42,60,81,65,81,35,70,2019-11-10,-0.01,-0.01,0.06,24810,1.25,215,2711,1,613,169,8,89.0,3483,70,79
5340,2019-11-11T09:02:29+03:00,2019-11-11T01:40:29+03:00,17.5,6060,26520,80,59.13,53,13890,10320,270,1230,38,59,59,95,72,72,16,56,2019-11-11,0.03,0.03,0.11,21180,1.4375,420,3061,0,678,303,18,82.0,6192,73,93
3240,2019-11-12T09:30:05+03:00,2019-11-12T02:08:05+03:00,16.75,7560,26520,88,57.49,52,12510,13560,570,3210,36,58,65,98,90,86,43,64,2019-11-12,0.03,0.03,0.11,23280,1.34375,179,2506,1,200,117,7,79.0,2706,82,89
3900,2019-11-14T08:51:29+03:00,2019-11-14T00:18:29+03:00,16.625,7230,30780,87,55.63,52,16620,15360,660,3030,43,58,72,97,88,89,41,78,2019-11-14,-0.44,-0.44,,26880,1.5,305,2731,1,285,179,21,67.0,4076,87,0
6360,2019-11-15T09:16:12+03:00,2019-11-15T01:08:12+03:00,16.75,5580,29280,78,54.99,51,14730,14370,330,2610,38,54,61,91,67,75,35,63,2019-11-15,-0.1,-0.1,-0.02,22920,1.78125,1072,3794,6,308,531,83,76.0,10654,80,91
5460,2019-11-16T09:13:54+03:00,2019-11-16T00:23:54+03:00,16.625,8250,31800,83,57.35,51,15810,15300,600,2280,34,54,71,99,79,86,30,76,2019-11-16,-0.01,-0.01,-0.01,26340,1.5,624,3216,1,434,374,40,76.0,10403,81,82
4530,2019-11-17T10:02:59+03:00,2019-11-17T00:56:59+03:00,17.125,8730,32760,86,58.18,52,16560,16260,1530,2940,37,54,70,100,86,70,39,83,2019-11-17,-0.14,-0.14,0.0,28230,1.375,437,2948,5,547,204,36,74.0,6813,81,87
4620,2019-11-18T09:26:38+03:00,2019-11-18T01:15:38+03:00,17.25,7560,29460,84,56.76,51,15240,14550,660,2040,41,53,65,98,81,89,27,70,2019-11-18,-0.4,-0.4,-0.15,24840,1.53125,565,3242,0,541,421,27,76.0,9247,84,89
7860,2019-11-19T09:29:47+03:00,2019-11-19T01:09:47+03:00,17.0,6720,30000,74,57.86,51,13230,14460,1170,2190,36,50,59,96,58,86,29,60,2019-11-19,-0.21,-0.21,-0.22,22140,1.375,361,2950,0,376,326,9,78.0,6160,78,89
5220,2019-11-20T09:23:13+03:00,2019-11-20T01:07:13+03:00,16.75,5310,29760,82,57.62,53,16530,14220,930,2700,41,47,66,87,76,97,36,69,2019-11-20,0.15,0.15,-0.05,24540,1.46875,506,3146,0,475,382,26,75.0,8357,80,92
4650,2019-11-21T08:45:21+03:00,2019-11-21T01:19:21+03:00,16.625,4110,26760,83,65.51,53,15720,14580,750,2280,39,58,61,67,79,94,30,60,2019-11-21,-0.4,-0.4,-0.09,22110,1.5,521,3174,1,572,371,24,68.0,8515,71,93
3480,2019-11-22T08:53:27+03:00,2019-11-22T01:18:27+03:00,17.5,6870,27300,87,56.42,51,14880,13200,450,2070,34,60,66,97,88,81,27,66,2019-11-22,-0.2,-0.2,-0.14,23820,1.53125,546,3264,5,683,346,25,61.0,8291,80,92
4830,2019-11-23T10:19:35+03:00,2019-11-23T02:31:35+03:00,16.75,6630,28080,83,63.06,55,13260,13380,390,3360,42,62,62,96,79,78,45,64,2019-11-23,-0.3,-0.3,-0.2,23250,1.53125,550,3228,1,535,376,28,64.0,8872,66,92
4860,2019-11-24T10:59:01+03:00,2019-11-24T03:24:01+03:00,17.25,2850,27300,82,69.87,60,15960,14250,60,3630,44,40,52,46,76,62,49,61,2019-11-24,0.06,0.06,-0.05,22440,1.3125,266,2794,0,448,251,2,63.0,4719,53,91
6630,2019-11-27T09:22:03+03:00,2019-11-27T01:13:03+03:00,17.375,7440,29340,77,58.47,53,13080,13680,1050,2190,37,44,63,98,67,91,29,62,2019-11-27,-0.14,-0.14,0.02,22710,1.46875,511,3141,2,593,341,31,73.0,8205,75,90
7890,2019-11-28T08:52:05+03:00,2019-11-28T00:58:05+03:00,17.75,5520,28440,72,58.69,53,12540,15570,3300,2490,37,47,50,90,53,15,33,53,2019-11-28,-0.57,-0.57,-0.19,20550,1.5625,653,3331,0,471,456,26,80.0,10521,69,90
6330,2019-11-29T08:36:21+03:00,2019-11-29T00:37:21+03:00,17.375,6360,28740,78,60.92,56,13500,14580,240,2550,40,45,61,96,67,70,34,61,2019-11-29,-0.04,-0.04,-0.2,22410,1.15625,241,2614,0,238,155,16,76.0,10001,67,87
7140,2019-11-30T10:02:49+03:00,2019-11-30T03:18:49+03:00,16.75,5190,24240,71,58.46,52,11400,11130,1650,510,34,46,46,85,51,64,7,40,2019-11-30,-0.22,-0.22,-0.15,17100,1.53125,685,3276,0,636,252,78,84.0,12331,70,92
7440,2019-12-01T10:16:03+03:00,2019-12-01T01:59:03+03:00,17.125,5790,29820,75,61.04,53,15480,15780,750,1110,35,49,59,95,60,94,15,60,2019-12-01,-0.11,-0.11,-0.08,22380,1.5625,717,3326,1,466,373,57,94.0,12280,71,83
4800,2019-12-02T09:21:31+03:00,2019-12-02T01:08:31+03:00,17.25,7830,29580,84,55.35,52,15450,14490,630,1500,36,56,66,98,81,89,20,70,2019-12-02,0.12,0.12,0.01,24780,1.5,621,3208,0,461,341,44,94.0,9577,78,79
5880,2019-12-03T09:43:30+03:00,2019-12-03T00:50:30+03:00,17.25,7530,31980,82,56.77,52,15570,15930,90,3000,35,51,66,98,76,64,40,75,2019-12-03,0.21,0.21,0.16,26100,1.53125,664,3278,1,503,386,45,96.0,9751,80,78
4950,2019-12-04T08:55:02+03:00,2019-12-04T00:46:02+03:00,17.0,4590,29340,83,57.38,51,17400,15000,540,2400,40,51,64,75,79,83,32,68,2019-12-04,0.11,0.11,0.21,24390,1.59375,742,3399,1,555,413,47,96.0,11878,76,77
5370,2019-12-05T08:47:57+03:00,2019-12-05T01:31:57+03:00,17.375,6150,26160,79,58.11,53,13740,13800,1470,900,42,58,56,96,72,72,12,54,2019-12-05,0.07,0.07,0.17,20790,1.5,327,2709,0,195,204,15,96.0,5555,72,74
5970,2019-12-06T09:12:49+03:00,2019-12-06T00:22:49+03:00,16.75,6450,31800,81,56.06,51,16050,15540,480,3330,35,51,70,96,74,81,45,74,2019-12-06,-0.26,-0.26,0.0,25830,1.75,997,3718,1,359,586,53,95.0,8271,82,77
3480,2019-12-07T08:44:57+03:00,2019-12-07T00:24:57+03:00,17.625,7860,30000,88,57.64,53,14130,15510,1110,4530,31,49,76,98,90,89,61,77,2019-12-07,-0.26,-0.26,-0.14,26520,1.40625,524,3020,2,514,191,52,90.0,8672,76,69
6180,2019-12-08T10:11:01+03:00,2019-12-08T00:17:01+03:00,17.5,8010,35640,83,58.81,52,18030,17400,300,3420,39,50,73,98,79,72,46,88,2019-12-08,0.08,0.08,-0.07,29460,1.25,175,2667,0,596,154,6,84.0,2690,86,79
4110,2019-12-09T07:51:11+03:00,2019-12-09T00:30:11+03:00,17.5,5700,26460,84,60.45,56,13920,13080,600,2730,39,45,66,93,83,86,37,60,2019-12-09,-0.06,-0.06,0.0,22350,1.40625,312,2478,0,328,261,31,79.0,14502,72,87
7230,2019-12-10T09:20:22+03:00,2019-12-10T02:02:22+03:00,16.375,5700,26280,72,60.77,56,12210,13740,810,1140,39,47,50,93,55,97,15,48,2019-12-10,0.18,0.18,0.1,19050,1.5625,686,3356,0,490,406,55,86.0,10901,64,93
6420,2019-12-11T09:30:40+03:00,2019-12-11T01:23:40+03:00,17.125,6000,29220,78,59.59,53,14670,15180,780,2130,37,49,61,95,67,94,28,62,2019-12-11,-0.06,-0.06,0.08,22800,1.53125,616,3284,0,561,392,40,84.0,10212,74,81
5760,2019-12-12T09:20:02+03:00,2019-12-12T01:52:02+03:00,17.0,5970,26880,79,57.15,52,12000,13530,1050,3150,42,49,60,95,69,91,42,56,2019-12-12,-0.04,-0.04,0.04,21120,1.5625,629,3294,1,584,386,33,89.0,10009,77,81
6420,2019-12-13T09:17:28+03:00,2019-12-13T01:19:28+03:00,17.125,4770,28680,78,57.82,52,15570,14910,1350,1920,48,56,56,78,67,78,25,60,2019-12-13,-0.09,-0.09,-0.01,22260,1.5625,665,3298,2,500,342,51,95.0,10438,76,81
6690,2019-12-14T12:15:58+03:00,2019-12-14T01:37:58+03:00,17.125,4290,38280,83,67.87,58,22500,18660,180,4800,42,44,71,70,79,67,65,96,2019-12-14,0.11,0.11,0.04,31590,1.625,706,3174,3,193,257,51,99.0,11291,64,80
6330,2019-12-15T11:29:02+03:00,2019-12-15T03:09:02+03:00,17.125,4740,30000,79,62.57,55,17190,15840,1140,1740,41,51,58,77,69,89,23,66,2019-12-15,0.13,0.13,0.12,23670,1.78125,1142,3794,7,355,399,92,96.0,7955,66,80
6150,2019-12-16T09:56:28+03:00,2019-12-16T01:29:28+03:00,17.0,6600,30420,80,60.25,53,14430,15930,720,3240,35,56,64,96,72,91,43,68,2019-12-16,0.12,0.12,0.17,24270,1.53125,660,3277,1,462,347,46,97.0,10135,72,72
4260,2019-12-17T09:06:46+03:00,2019-12-17T01:22:46+03:00,16.875,5070,27840,85,57.33,51,17100,14490,960,1410,40,65,62,83,83,97,19,65,2019-12-17,-0.01,-0.01,0.12,23580,1.5,557,3188,1,520,340,19,96.0,9127,74,82
4440,2019-12-18T09:29:31+03:00,2019-12-18T01:18:31+03:00,17.0,7470,29460,85,56.72,50,16080,15090,1140,1470,37,62,65,98,83,89,20,71,2019-12-18,-0.08,-0.08,0.04,25020,1.4375,456,3095,0,584,334,21,93.0,7671,75,83
5190,2019-12-19T08:49:29+03:00,2019-12-19T01:23:29+03:00,17.375,5640,26760,81,59.43,53,14250,14280,900,1680,40,58,61,92,74,99,22,57,2019-12-19,-0.06,-0.06,0.0,21570,1.59375,686,3360,0,488,415,33,95.0,11495,73,86
3390,2019-12-20T09:29:03+03:00,2019-12-20T01:50:03+03:00,17.5,5190,27540,88,58.25,54,17070,13470,390,1890,40,58,62,85,90,78,25,67,2019-12-20,0.07,0.07,0.03,24150,1.78125,1138,3804,3,493,396,124,95.0,17251,72,84
4440,2019-12-21T10:48:43+03:00,2019-12-21T02:26:43+03:00,17.0,7110,30120,85,57.55,53,15960,14640,450,2610,39,61,65,97,83,81,35,73,2019-12-21,-0.1,-0.1,0.02,25680,1.9375,1512,4165,45,491,353,91,96.0,19062,70,73
4560,2019-12-22T10:33:33+03:00,2019-12-22T03:39:33+03:00,18.25,3690,24840,82,87.0,68,12900,13170,450,3690,38,18,54,60,76,81,50,52,2019-12-22,0.04,0.04,0.03,20280,1.21875,154,2616,0,577,137,4,89.0,2654,35,59
6540,2019-12-23T09:31:03+03:00,2019-12-23T02:17:03+03:00,16.375,4350,26040,75,58.51,53,14760,12960,990,390,45,86,50,71,60,94,5,49,2019-12-23,-0.05,-0.05,0.18,19500,1.5625,663,3322,1,539,358,47,90.0,10235,59,58
4020,2019-12-24T09:04:07+03:00,2019-12-24T02:40:07+03:00,16.875,7320,23040,83,63.77,55,10590,11640,960,1110,32,73,57,97,79,97,15,47,2019-12-24,0.06,0.06,0.1,19020,1.46875,521,3143,2,599,334,25,93.0,8698,50,64
5760,2019-12-25T10:44:33+03:00,2019-12-25T01:57:33+03:00,17.75,4830,31620,82,69.82,60,18510,16320,480,2520,38,47,63,79,76,81,33,74,2019-12-25,0.25,0.25,0.2,25860,1.3125,362,2841,1,412,220,20,98.0,5813,51,69
3630,2019-12-26T08:17:31+03:00,2019-12-26T00:53:31+03:00,17.0,5460,26640,86,63.92,54,16290,13440,630,1260,36,59,64,89,86,89,16,63,2019-12-26,0.01,0.01,0.18,23010,1.65625,854,3553,5,514,449,63,96.0,14121,57,77
3480,2019-12-27T08:25:36+03:00,2019-12-27T00:59:36+03:00,17.25,5310,26760,87,64.67,57,15480,13800,510,2490,36,56,65,87,88,83,33,64,2019-12-27,-0.07,-0.07,0.1,23280,1.375,305,2896,0,753,236,10,90.0,5079,56,74
6510,2019-12-28T12:04:25+03:00,2019-12-28T01:54:25+03:00,17.375,5250,36600,82,69.56,62,20370,18300,420,4470,40,41,71,86,76,78,60,91,2019-12-28,0.31,0.31,0.32,30090,1.15625,54,2381,0,329,41,2,80.0,724,63,86
5730,2019-12-29T11:44:23+03:00,2019-12-29T03:25:23+03:00,15.875,6090,29940,81,58.56,53,16140,14100,360,1980,38,83,57,95,74,75,26,68,2019-12-29,-0.24,-0.24,0.18,24210,1.5,539,3171,3,661,309,36,84.0,4743,78,93
6390,2019-12-30T10:08:39+03:00,2019-12-30T01:27:39+03:00,16.375,5550,31260,80,59.26,53,16230,14790,870,3090,42,66,65,91,72,99,41,70,2019-12-30,-0.08,-0.08,0.02,24870,1.3125,291,2816,2,567,220,7,75.0,4776,80,93
